Produtos,Tipo A,Tipo B,Tipo C
Feijão 1kg, 5.89, 3.89, 2.49
Arroz 5kg, 15.99, 13.79, 10.69
Açúcar 5Kg, 12.00, 9.99, 6.89
Café 500g, 10.69, 9.29, 8.19
Macarrão 500g, 2.89, 2.59, 1.89
Oléo 900ml, 3.49, 3.39, 2.99
Cerveja Latinha, 3.59, 2.99, 2.29
Refrigerante 2L, 6.99, 5.49, 2.99
Suco 1Litro, 3.95, 3.69, 2.99
Achocolatados, 7.78, 5.79, 5.29
Papel Higiênico, 7.29, 4.99, 4.19
Amaciante 5L , 24.59, 24.19,13.39
Sabão em Pó 3kg, 21.59, 18.29,16.49
Desodorante 150ml, 11.49, 9.39, 8.15
Creme Dental, 2.09, 1.79, 1.29
Shampoo, 40.19, 11.02, 6.39
Condicionador, 40.19, 11.02, 6.39
Sabonete 80g, 2.49, 1.89, 1.09
Biscoito 244g, 4.49, 3.39, 2.49
Iogurte 170ml, 3.09, 2.29, 1.49
Farinha Trigo 1kg, 3.69, 3.19, 2.49
Salsicha 500g, 9.19, 7.89, 7.00
Pao de forma 500g, 6.99, 6.19, 5.99
Molho de tomate, 0.99, 1.19, 2.09
Miojo, 1.29, 0.99, 0.69
Detergente 500ml, 1.49, 1.39, 1.19
Margarina 250g, 4.19, 3.59, 3.29
Manteiga 250g, 18.69, 7.80, 6.59
Azeite 900ml, 60.00, 29.49, 20.69
Água Mineral,15,17,20
Gás de cozinha,65,70,77
